election_type,scope,year,month,day
europeas,state,2019,05,26
europeas,state,2014,05,25
europeas,state,2009,06,07
europeas,state,2004,06,13
europeas,state,1999,06,13
europeas,state,1994,06,12
europeas,state,1989,06,15
europeas,state,1987,06,10
europeas,state,1985,12,16
generales,state,2023,07,23
generales,state,2019,11,10
generales,state,2019,04,28
generales,state,2016,06,26
generales,state,2015,12,20
generales,state,2011,11,20
generales,state,2008,03,09
generales,state,2004,03,14
generales,state,2000,03,12
generales,state,1996,03,03
generales,state,1993,06,06
generales,state,1989,10,29
generales,state,1986,06,22
generales,state,1982,10,28
generales,state,1979,03,01
generales,state,1977,06,15
municipales,state,2023,05,28
municipales,state,2019,05,26
municipales,state,2015,05,24
municipales,state,2011,05,22
municipales,state,2007,05,27
municipales,state,2003,05,25
municipales,state,1999,06,13
municipales,state,1995,05,28
municipales,state,1991,05,26
municipales,state,1987,06,10
municipales,state,1983,05,08
municipales,state,1979,04,03
